id,neighbourhood_cleansed,latitude,longitude
34929386,Kensington-Cedar Cottage,49.25499,-123.07327
34936006,Fairview,49.26361,-123.12692
34937868,West End,49.27866,-123.13646
34941557,Dunbar Southlands,49.25359,-123.18147
34949475,Dunbar Southlands,49.24899,-123.1772
35010597,Kerrisdale,49.22151,-123.14385
35011101,Downtown,49.28862,-123.1268311
35015397,Kensington-Cedar Cottage,49.24579,-123.05891
35015685,Oakridge,49.22391,-123.11891
35044405,Riley Park,49.24088,-123.09891
35062952,Downtown,49.27612,-123.12167
35089036,Downtown,49.28778,-123.12574
35090765,West End,49.28807,-123.12777
35091087,Riley Park,49.25295,-123.09351
35095227,Mount Pleasant,49.26864,-123.1071
35157060,Downtown Eastside,49.28363,-123.10386
35164437,Downtown,49.27667,-123.1168
35164633,Renfrew-Collingwood,49.24676,-123.05111
35169166,Downtown,49.27873,-123.12046
35189312,Kitsilano,49.25996,-123.16221
35190461,Downtown Eastside,49.27659,-123.08946
35191313,Kensington-Cedar Cottage,49.26164,-123.07352
35194772,West End,49.28796,-123.1349
35194928,West End,49.28572,-123.12401
35198788,Hastings-Sunrise,49.28492,-123.02658
35222593,Dunbar Southlands,49.23665,-123.17934
35222652,Downtown,49.27951,-123.10874
35239463,Renfrew-Collingwood,49.25437,-123.04379
35262401,Downtown,49.27962,-123.12405
35265562,Riley Park,49.25214,-123.09817
35287417,Riley Park,49.23631,-123.09558
35289970,Downtown,49.27645,-123.12993
35322644,Kensington-Cedar Cottage,49.24642,-123.06576
35346140,Grandview-Woodland,49.2687,-123.06548
35357365,Downtown,49.27665,-123.13257
35382659,Kensington-Cedar Cottage,49.23773,-123.08654
35385840,Kitsilano,49.26514,-123.16445
35419651,Kitsilano,49.2673,-123.16752
35420313,Mount Pleasant,49.26736,-123.10059
35423100,Downtown,49.2804,-123.11
35459624,Downtown,49.28003,-123.10686
35460812,West End,49.28569,-123.12691
35462542,Grandview-Woodland,49.28531,-123.06652
35466121,Kitsilano,49.26876,-123.17423
35468724,Downtown,49.27352,-123.12392
35493651,Grandview-Woodland,49.28717,-123.06147
35494223,Grandview-Woodland,49.27507,-123.06757
35496439,Kitsilano,49.27174,-123.16352
35571642,South Cambie,49.24855,-123.12028
35572828,South Cambie,49.24903,-123.12034
35582089,Renfrew-Collingwood,49.24776,-123.04677
35611230,West End,49.28635,-123.12469
35612864,West End,49.28932402,-123.1374605
35615014,Marpole,49.20915,-123.14363
35618930,Riley Park,49.25165,-123.11312
35619056,Grandview-Woodland,49.27975,-123.06576
35649229,Downtown,49.28052,-123.10686
35684791,Mount Pleasant,49.26211,-123.09153
35689951,Mount Pleasant,49.26698,-123.10011
35711231,Downtown Eastside,49.28037,-123.10964
35713132,Downtown,49.28028,-123.12069
35719746,Grandview-Woodland,49.28347,-123.06099
35721408,Downtown,49.27559,-123.13415
35722840,Riley Park,49.24755,-123.0914
35740659,Hastings-Sunrise,49.28616,-123.0526
35772733,Riley Park,49.23307,-123.09746
35773260,Riley Park,49.23331,-123.09835
35773343,Downtown,49.28243,-123.12295
35773483,Mount Pleasant,49.25809,-123.07783
35797934,Kensington-Cedar Cottage,49.24104,-123.07267
35805334,Mount Pleasant,49.26091,-123.09784
35806049,Downtown,49.28835,-123.12433
35809364,Downtown,49.27894,-123.11539
35809857,Killarney,49.22246,-123.04124
35846415,Kerrisdale,49.21977,-123.14125
35847027,Mount Pleasant,49.26136,-123.0996
35865746,Riley Park,49.23448181,-123.1130447
35869904,Downtown,49.28148,-123.12386
35872728,Downtown,49.27674,-123.11664
35873478,Fairview,49.26112,-123.12836
35922487,Sunset,49.22417,-123.07754
35939545,West End,49.29165,-123.13464
35941324,Downtown,49.27622,-123.11441
35950527,Fairview,49.25813,-123.12783
35969981,West Point Grey,49.26647,-123.18603
35974588,Fairview,49.25904,-123.13314
35996582,Hastings-Sunrise,49.28504,-123.02787
35997562,Oakridge,49.22209,-123.1222
35998238,Kensington-Cedar Cottage,49.23736,-123.07747
36001864,Downtown,49.27673,-123.12961
36002071,Downtown,49.27929,-123.11049
36003498,Kensington-Cedar Cottage,49.23903,-123.08755
36005894,Downtown,49.28098,-123.10952
36006232,Kerrisdale,49.22751,-123.16339
36007371,Downtown,49.27894,-123.10821
36035483,Killarney,49.20777,-123.05639
36036194,Kensington-Cedar Cottage,49.23791,-123.0788
36036802,West Point Grey,49.2593,-123.21094
36043428,Kensington-Cedar Cottage,49.23885,-123.07307
36046141,Renfrew-Collingwood,49.24522,-123.02829
36065730,Kensington-Cedar Cottage,49.25116,-123.06571
36069114,Strathcona,49.26745,-123.09589
36078854,Kitsilano,49.26966,-123.17164
36104190,Renfrew-Collingwood,49.25087,-123.05518
36104697,Hastings-Sunrise,49.28524,-123.04664
36106185,West End,49.28939,-123.1361
36108913,Marpole,49.20599,-123.12547
36112319,Killarney,49.2075,-123.05633
36112328,Killarney,49.20629,-123.05634
36117076,Downtown Eastside,49.28116,-123.08396
36119559,Downtown,49.273426,-123.119911
36145968,Downtown,49.27812,-123.12829
36182389,West End,49.29057,-123.1349
36182407,West End,49.29174,-123.13352
36184209,Kensington-Cedar Cottage,49.25091,-123.08788
36184870,Grandview-Woodland,49.28131,-123.0622
36198259,Downtown,49.27608,-123.12896
36212090,Renfrew-Collingwood,49.24829,-123.05124
36223469,Kitsilano,49.26756,-123.17384
36272893,Kensington-Cedar Cottage,49.24582,-123.07564
36273414,West End,49.28495,-123.13909
36278151,Sunset,49.21694,-123.07877
36299582,Kitsilano,49.26327,-123.17857
36306517,Kitsilano,49.27336,-123.15766
36313179,Downtown,49.27795,-123.12797
36314979,Fairview,49.26855,-123.14199
36322781,Renfrew-Collingwood,49.25094,-123.05199
36348251,Riley Park,49.25462,-123.09677
36352379,Hastings-Sunrise,49.28186,-123.0296
36360519,West Point Grey,49.26102,-123.20051
36419226,Mount Pleasant,49.25982,-123.10917
36478274,Shaughnessy,49.23494,-123.14378
36479496,Grandview-Woodland,49.2769,-123.06862
36480754,Kensington-Cedar Cottage,49.26214,-123.05763
36490192,Hastings-Sunrise,49.28249,-123.05094
36557638,Downtown,49.27369,-123.13199
36573477,Mount Pleasant,49.26472,-123.10804
36575124,Downtown,49.27842,-123.12222
36590526,Downtown,49.2796875,-123.1259891
36590559,Downtown,49.2796875,-123.1259891
36603153,West End,49.28532,-123.12951
36605300,West Point Grey,49.26345,-123.20982
36607644,Mount Pleasant,49.26206,-123.09696
36612741,Mount Pleasant,49.25813,-123.08193
36615837,Downtown,49.2789,-123.1181
36618301,Downtown,49.27662,-123.13026
36619118,Downtown,49.27597,-123.12863
36621221,Downtown,49.27304,-123.12713
36637404,Riley Park,49.25091,-123.10472
36657859,West End,49.28169,-123.12626
36670366,Arbutus Ridge,49.24835,-123.16907
36672683,Kitsilano,49.26441,-123.15387
36693126,Downtown,49.28004,-123.1083
36696946,Victoria-Fraserview,49.21878,-123.06693
36712065,Downtown,49.28102,-123.10921
36715252,Mount Pleasant,49.27072,-123.1041
36730149,Hastings-Sunrise,49.29277,-123.04673
36736259,South Cambie,49.25012,-123.12143
36756429,Fairview,49.26285,-123.13288
