id,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
1932171,2016-06-20,2018-08-28,4.64,4.91,4.27,5,5,4.91,4.73,0.13
1950844,2019-04-09,2023-02-27,4.56,4.72,4.52,4.63,4.61,4.9,4.53,3.03
1962072,2015-12-26,2015-12-26,5,5,5,5,5,5,5,0.01
1995592,2013-12-06,2023-03-13,4.62,4.73,4.49,4.89,4.9,4.94,4.73,2.87
2003897,2013-12-30,2014-02-03,5,4.5,5,5,5,5,4.5,0.03
2008047,2014-06-18,2023-02-07,4.82,4.85,4.78,4.95,4.91,4.48,4.79,0.54
2011559,2016-07-05,2022-08-30,4.89,4.92,4.92,5,5,4.97,4.62,0.47
2033952,2020-01-03,2020-09-09,4.67,4.67,4.83,4.67,5,5,4.83,0.15
2041582,2014-05-24,2023-01-18,4.96,4.94,4.98,4.98,5,4.96,4.89,2.31
2042431,2014-01-28,2023-01-08,4.89,4.91,4.89,4.92,4.92,4.9,4.76,1.22
2046259,2016-06-30,2018-07-24,4.43,4.57,4.57,4.86,4.86,4.71,4.71,0.09
2056676,2014-01-02,2022-01-31,4.49,4.66,4.55,4.67,4.65,4.9,4.47,0.81
2084273,2014-02-25,2023-02-28,4.84,4.84,4.95,4.98,4.93,4.76,4.85,0.41
2092610,2014-02-15,2022-12-10,4.71,4.86,4.71,4.93,4.76,4.88,4.71,0.38
2106364,2014-01-02,2023-01-18,4.72,4.96,5,4.81,4.67,4.81,4.81,0.27
2163742,2014-04-04,2023-02-20,4.82,4.84,4.82,4.89,4.92,4.85,4.72,1.07
2168943,2014-02-28,2018-03-19,4.93,4.93,5,4.86,4.86,4.93,5,0.13
2183209,2014-05-11,2023-02-04,4.72,4.85,4.68,4.85,4.92,4.94,4.66,1.25
2188113,2014-04-01,2019-11-30,4.86,4.83,4.88,4.91,4.94,5,4.68,0.33
2198419,2014-03-28,2016-09-01,4.94,4.91,4.96,4.99,4.99,4.96,4.9,1.3
2216062,2014-07-02,2022-12-28,4.97,5,5,5,4.98,5,4.93,0.57
2217245,,,,,,,,,,
2273714,2014-04-15,2021-08-16,4.8,4.85,4.8,4.95,4.85,4.92,4.69,0.4
2282114,2015-01-31,2022-07-26,5,5,4.9,5,5,4.95,4.8,0.2
2361393,2014-07-09,2022-07-05,4.67,4.8,4.92,4.88,4.83,4.69,4.75,1.21
2365994,2014-02-24,2019-10-26,4.84,4.84,4.89,4.94,4.92,4.92,4.86,0.87
